path,set,target
train/sad_0.png,train,sad
train/angry_1.png,train,angry
train/happy_2.png,train,happy
train/surprised_3.png,train,surprised
train/neutral_4.png,train,neutral
train/neutral_5.png,train,neutral
train/fearful_6.png,train,fearful
train/angry_7.png,train,angry
train/angry_8.png,train,angry
train/sad_9.png,train,sad
train/surprised_10.png,train,surprised
train/happy_11.png,train,happy
train/happy_12.png,train,happy
train/happy_13.png,train,happy
train/neutral_14.png,train,neutral
train/surprised_15.png,train,surprised
train/happy_16.png,train,happy
train/fearful_17.png,train,fearful
train/sad_18.png,train,sad
train/fearful_19.png,train,fearful
train/sad_20.png,train,sad
train/sad_21.png,train,sad
train/neutral_22.png,train,neutral
train/surprised_23.png,train,surprised
train/angry_24.png,train,angry
train/neutral_25.png,train,neutral
train/happy_26.png,train,happy
train/angry_27.png,train,angry
train/happy_28.png,train,happy
train/angry_29.png,train,angry
train/happy_30.png,train,happy
train/happy_31.png,train,happy
train/fearful_32.png,train,fearful
train/happy_33.png,train,happy
train/neutral_35.png,train,neutral
train/fearful_36.png,train,fearful
train/surprised_37.png,train,surprised
train/happy_38.png,train,happy
train/neutral_39.png,train,neutral
train/surprised_40.png,train,surprised
train/sad_41.png,train,sad
train/surprised_42.png,train,surprised
train/surprised_43.png,train,surprised
train/angry_44.png,train,angry
train/happy_45.png,train,happy
train/fearful_46.png,train,fearful
train/neutral_48.png,train,neutral
train/sad_49.png,train,sad
train/fearful_50.png,train,fearful
train/happy_51.png,train,happy
train/neutral_52.png,train,neutral
train/sad_53.png,train,sad
train/happy_54.png,train,happy
train/angry_55.png,train,angry
train/neutral_56.png,train,neutral
train/neutral_57.png,train,neutral
train/neutral_58.png,train,neutral
train/angry_59.png,train,angry
train/neutral_60.png,train,neutral
train/neutral_61.png,train,neutral
train/surprised_62.png,train,surprised
train/happy_63.png,train,happy
train/fearful_64.png,train,fearful
train/neutral_65.png,train,neutral
train/neutral_66.png,train,neutral
train/neutral_67.png,train,neutral
train/fearful_68.png,train,fearful
train/fearful_69.png,train,fearful
train/fearful_70.png,train,fearful
train/happy_71.png,train,happy
train/fearful_72.png,train,fearful
train/neutral_73.png,train,neutral
train/neutral_76.png,train,neutral
train/fearful_77.png,train,fearful
train/happy_78.png,train,happy
train/fearful_79.png,train,fearful
train/happy_80.png,train,happy
train/sad_81.png,train,sad
train/neutral_82.png,train,neutral
train/fearful_83.png,train,fearful
train/surprised_84.png,train,surprised
train/happy_85.png,train,happy
train/happy_86.png,train,happy
train/angry_87.png,train,angry
train/neutral_88.png,train,neutral
train/sad_89.png,train,sad
